month,day,hour,air_temp_f,cloudcover,pressure,day of week
1,1,0,26.69,1.0,1038.2,0
1,1,1,26.03,1.0,1038.1,0
1,1,2,25.86,1.0,1038.5,0
1,1,3,25.91,1.0,1038.9,0
1,1,4,25.83,1.0,1039.2,0
1,1,5,25.77,1.0,1039.7,0
1,1,6,25.62,1.0,1040.0,0
1,1,7,25.35,1.0,1040.9,0
1,1,8,24.64,0.99,1041.6,0
1,1,9,24.87,1.0,1042.2,0
1,1,10,25.5,0.93,1042.9,0
1,1,11,26.09,0.95,1042.4,0
1,1,12,27.56,0.73,1041.9,0
1,1,13,28.89,0.98,1040.8,0
1,1,14,29.73,1.0,1039.9,0
1,1,15,29.94,1.0,1038.9,0
1,1,16,30.39,1.0,1038.9,0
1,1,17,30.55,1.0,1038.5,0
1,1,18,29.66,1.0,1037.8,0
1,1,19,29.13,1.0,1038.9,0
1,1,20,29.1,1.0,1038.5,0
1,1,21,29.02,1.0,1038.8,0
1,1,22,28.91,1.0,1038.7,0
1,1,23,28.9,1.0,1038.4,0
1,2,0,28.85,1.0,1038.0,1
1,2,1,28.72,1.0,1037.3,1
1,2,2,28.7,1.0,1037.4,1
1,2,3,28.62,1.0,1037.0,1
1,2,4,28.49,1.0,1036.7,1
1,2,5,28.11,1.0,1036.6,1
1,2,6,27.98,1.0,1036.4,1
1,2,7,27.93,1.0,1036.6,1
1,2,8,27.96,1.0,1036.9,1
1,2,9,28.23,1.0,1037.1,1
1,2,10,29.02,1.0,1036.9,1
1,2,11,30.02,1.0,1036.8,1
1,2,12,30.63,1.0,1036.0,1
1,2,13,31.03,1.0,1034.3,1
1,2,14,31.27,1.0,1033.0,1
1,2,15,31.09,1.0,1033.0,1
1,2,16,30.07,1.0,1033.6,1
1,2,17,28.88,1.0,1033.8,1
1,2,18,28.82,1.0,1033.8,1
1,2,19,28.6,1.0,1034.4,1
1,2,20,28.31,1.0,1034.6,1
1,2,21,27.86,1.0,1035.1,1
1,2,22,27.48,1.0,1035.2,1
1,2,23,26.99,0.99,1035.3,1
1,3,0,26.3,0.65,1034.8,2
1,3,1,24.71,0.0,1034.5,2
1,3,2,23.79,0.0,1034.1,2
1,3,3,22.6,0.0,1033.7,2
1,3,4,22.63,0.0,1033.7,2
1,3,5,22.77,0.0,1033.6,2
1,3,6,21.73,0.0,1033.6,2
1,3,7,20.88,0.0,1033.3,2
1,3,8,21.72,0.0,1033.6,2
1,3,9,27.6,0.0,1033.5,2
1,3,10,32.72,0.0,1033.6,2
1,3,11,38.11,0.0,1033.2,2
1,3,12,42.6,0.0,1032.1,2
1,3,13,48.13,0.0,1030.4,2
1,3,14,51.64,0.0,1029.0,2
1,3,15,53.67,0.0,1028.1,2
1,3,16,55.27,0.0,1027.6,2
1,3,17,54.95,0.0,1027.3,2
1,3,18,50.85,0.0,1027.7,2
1,3,19,44.94,0.0,1028.5,2
1,3,20,42.04,0.0,1028.5,2
1,3,21,38.9,0.0,1029.0,2
1,3,22,36.77,0.0,1028.8,2
1,3,23,35.54,0.0,1029.2,2
1,4,0,33.38,0.0,1028.5,3
1,4,1,32.08,0.0,1028.8,3
1,4,2,31.07,0.0,1028.1,3
1,4,3,30.07,0.0,1028.3,3
1,4,4,29.34,0.0,1028.3,3
1,4,5,29.29,0.0,1028.5,3
1,4,6,29.4,0.0,1028.6,3
1,4,7,28.48,0.0,1029.4,3
1,4,8,28.42,0.0,1029.2,3
1,4,9,33.6,0.0,1029.8,3
1,4,10,43.23,0.0,1030.1,3
1,4,11,48.06,0.0,1029.7,3
1,4,12,50.85,0.0,1029.2,3
1,4,13,52.7,0.0,1028.2,3
1,4,14,54.17,0.0,1027.1,3
1,4,15,54.46,0.0,1026.7,3
1,4,16,53.96,0.0,1026.7,3
1,4,17,53.1,0.0,1026.7,3
1,4,18,51.06,0.0,1027.0,3
1,4,19,48.67,0.27,1027.2,3
1,4,20,47.31,0.0,1027.6,3
1,4,21,46.25,0.0,1027.7,3
1,4,22,46.05,0.02,1027.8,3
1,4,23,44.99,0.36,1028.0,3
1,5,0,44.91,0.96,1028.1,4
1,5,1,45.27,0.83,1027.7,4
1,5,2,44.93,0.75,1027.7,4
1,5,3,44.21,0.29,1027.7,4
1,5,4,44.18,1.0,1027.7,4
1,5,5,43.39,1.0,1028.0,4
1,5,6,43.1,0.98,1028.1,4
1,5,7,42.91,1.0,1028.5,4
1,5,8,43.16,0.81,1028.5,4
1,5,9,45.19,0.98,1029.3,4
1,5,10,48.78,0.69,1029.8,4
1,5,11,51.6,0.47,1030.1,4
1,5,12,55.26,0.23,1029.1,4
1,5,13,58.21,0.13,1027.5,4
1,5,14,59.77,0.02,1026.4,4
1,5,15,60.43,0.0,1025.9,4
1,5,16,60.65,0.0,1026.0,4
1,5,17,59.09,0.0,1025.4,4
1,5,18,54.83,0.0,1025.5,4
1,5,19,50.28,0.0,1025.8,4
1,5,20,47.35,0.0,1026.7,4
1,5,21,47.25,0.0,1027.0,4
1,5,22,46.08,0.0,1026.6,4
1,5,23,46.97,0.0,1026.6,4
1,6,0,46.03,0.0,1026.5,5
1,6,1,44.13,0.0,1026.5,5
1,6,2,42.92,0.0,1026.9,5
1,6,3,41.36,0.0,1026.5,5
1,6,4,39.93,0.0,1026.7,5
1,6,5,39.22,0.0,1026.9,5
1,6,6,40.2,0.97,1027.3,5
1,6,7,41.46,1.0,1027.1,5
1,6,8,42.39,1.0,1027.3,5
1,6,9,44.3,1.0,1028.4,5
1,6,10,47.36,1.0,1029.0,5
1,6,11,51.54,1.0,1029.0,5
1,6,12,57.02,0.6,1027.7,5
1,6,13,61.06,0.57,1026.6,5
1,6,14,61.74,0.94,1025.5,5
1,6,15,61.81,1.0,1025.1,5
1,6,16,62.35,1.0,1024.6,5
1,6,17,62.13,1.0,1024.4,5
1,6,18,59.54,0.83,1024.0,5
1,6,19,56.62,0.75,1023.7,5
1,6,20,55.22,0.82,1023.8,5
1,6,21,56.34,0.75,1023.5,5
1,6,22,56.57,1.0,1023.4,5
1,6,23,55.35,0.75,1023.4,5
1,7,0,54.6,0.77,1022.6,6
1,7,1,54.2,1.0,1021.9,6
1,7,2,54.1,1.0,1021.3,6
1,7,3,54.11,1.0,1020.7,6
1,7,4,54.27,1.0,1019.9,6
1,7,5,54.61,1.0,1019.2,6
1,7,6,54.79,1.0,1018.4,6
1,7,7,54.86,1.0,1018.5,6
1,7,8,54.99,1.0,1018.4,6
1,7,9,55.55,1.0,1018.5,6
1,7,10,59.0,1.0,1018.0,6
1,7,11,61.77,1.0,1017.1,6
1,7,12,65.31,1.0,1015.7,6
1,7,13,66.59,1.0,1013.6,6
1,7,14,66.53,1.0,1013.0,6
1,7,15,66.57,1.0,1012.4,6
1,7,16,66.64,1.0,1012.1,6
1,7,17,66.42,0.58,1012.0,6
1,7,18,65.64,1.0,1012.6,6
1,7,19,64.28,1.0,1013.2,6
1,7,20,62.48,0.99,1013.8,6
1,7,21,61.04,0.75,1014.3,6
1,7,22,59.01,0.01,1014.1,6
1,7,23,58.38,0.0,1014.4,6
1,8,0,57.12,0.03,1015.6,0
1,8,1,55.4,0.0,1016.1,0
1,8,2,54.59,0.0,1016.8,0
1,8,3,53.61,0.0,1016.9,0
1,8,4,52.32,0.0,1017.7,0
1,8,5,51.31,0.0,1018.2,0
1,8,6,51.52,0.0,1019.2,0
1,8,7,50.07,0.0,1020.3,0
1,8,8,49.07,0.0,1020.8,0
1,8,9,51.46,0.0,1021.7,0
1,8,10,55.76,0.0,1022.3,0
1,8,11,58.84,0.0,1022.4,0
1,8,12,61.98,0.0,1021.7,0
1,8,13,63.81,0.0,1020.7,0
1,8,14,65.37,0.0,1019.8,0
1,8,15,66.63,0.0,1019.5,0
1,8,16,66.97,0.0,1019.5,0
1,8,17,66.49,0.0,1019.9,0
1,8,18,62.22,0.0,1020.1,0
1,8,19,56.68,0.0,1020.5,0
1,8,20,53.26,0.0,1021.2,0
1,8,21,50.74,0.0,1021.8,0
1,8,22,48.82,0.0,1022.0,0
1,8,23,47.15,0.0,1021.9,0
1,9,0,45.49,0.0,1021.6,1
1,9,1,44.46,0.0,1021.7,1
1,9,2,43.35,0.0,1021.7,1
1,9,3,41.89,0.0,1021.6,1
1,9,4,40.65,0.0,1021.5,1
1,9,5,39.9,0.0,1021.2,1
1,9,6,38.9,0.0,1021.0,1
1,9,7,37.84,0.0,1021.5,1
1,9,8,37.61,0.0,1021.8,1
1,9,9,44.97,0.0,1022.3,1
1,9,10,50.76,0.0,1022.5,1
1,9,11,56.6,0.0,1022.2,1
1,9,12,60.74,0.0,1020.8,1
1,9,13,64.72,0.0,1019.1,1
1,9,14,66.91,0.0,1017.8,1
1,9,15,69.55,0.0,1016.7,1
1,9,16,69.65,0.0,1016.3,1
1,9,17,68.06,0.0,1016.3,1
1,9,18,63.17,0.0,1016.4,1
