month,day,hour,total power usage (kW)
1,1,0,0.7162499999999999
1,1,1,0.0
1,1,2,0.51225
1,1,3,0.7615
1,1,4,0.5894999999999999
1,1,5,0.48524999999999996
1,1,6,0.62675
1,1,7,0.7904999999999999
1,1,8,1.7685000000000002
1,1,9,1.3632499999999999
1,1,10,1.35025
1,1,11,0.89225
1,1,12,0.492
1,1,13,0.57875
1,1,14,0.94375
1,1,15,0.5967499999999999
1,1,16,0.592
1,1,17,0.8492500000000001
1,1,18,1.47975
1,1,19,0.9239999999999999
1,1,20,1.798
1,1,21,5.374
1,1,22,2.559
1,1,23,0.69475
1,2,0,0.2945
1,2,1,0.2825
1,2,2,0.43425
1,2,3,0.6402500000000001
1,2,4,0.6527499999999999
1,2,5,0.50825
1,2,6,0.575
1,2,7,0.72525
1,2,8,0.36675
1,2,9,0.44875
1,2,10,0.59225
1,2,11,0.49050000000000005
1,2,12,0.58375
1,2,13,0.81475
1,2,14,0.54175
1,2,15,1.7857500000000002
1,2,16,2.676
1,2,17,2.4170000000000003
1,2,18,2.1945
1,2,19,2.261
1,2,20,2.21675
1,2,21,2.27625
1,2,22,1.7942500000000001
1,2,23,0.6134999999999999
1,3,0,0.45475000000000004
1,3,1,0.6275000000000001
1,3,2,1.117
1,3,3,0.67975
1,3,4,0.50425
1,3,5,0.5635
1,3,6,0.597
1,3,7,0.78425
1,3,8,0.674
1,3,9,0.5145000000000001
1,3,10,1.1525
1,3,11,0.533
1,3,12,0.5004999999999998
1,3,13,0.4857499999999999
1,3,14,0.475
1,3,15,0.46499999999999986
1,3,16,0.43875
1,3,17,0.46675
1,3,18,0.7847500000000001
1,3,19,2.1855
1,3,20,4.5825000000000005
1,3,21,3.7460000000000004
1,3,22,4.26775
1,3,23,0.9905
1,4,0,0.27749999999999997
1,4,1,0.359
1,4,2,0.7030000000000001
1,4,3,0.5522499999999999
1,4,4,0.5455000000000001
1,4,5,0.4675
1,4,6,0.59975
1,4,7,0.9199999999999999
1,4,8,0.508
1,4,9,0.44875000000000004
1,4,10,0.4262499999999998
1,4,11,0.3660000000000002
1,4,12,0.30999999999999994
1,4,13,0.344
1,4,14,0.32224999999999987
1,4,15,0.49525
1,4,16,0.61875
1,4,17,0.71975
1,4,18,2.4250000000000003
1,4,19,2.3015000000000003
1,4,20,2.19925
1,4,21,2.2565
1,4,22,1.284
1,4,23,0.37375
1,5,0,0.291
1,5,1,0.26675
1,5,2,0.40125000000000005
1,5,3,0.44475000000000003
1,5,4,0.44925
1,5,5,0.45025
1,5,6,0.9012500000000001
1,5,7,0.69825
1,5,8,0.7315
1,5,9,0.614
1,5,10,0.40974999999999995
1,5,11,0.40125000000000016
1,5,12,0.4869999999999999
1,5,13,0.3580000000000001
1,5,14,0.46674999999999967
1,5,15,0.5035000000000001
1,5,16,0.5534999999999998
1,5,17,0.50925
1,5,18,2.2035000000000005
1,5,19,2.438
1,5,20,2.2165
1,5,21,1.6395000000000002
1,5,22,0.55825
1,5,23,0.4465
1,6,0,0.3365
1,6,1,0.37250000000000005
1,6,2,0.4825
1,6,3,0.49
1,6,4,0.5375
1,6,5,0.4912500000000001
1,6,6,0.518
1,6,7,0.5667500000000001
1,6,8,0.55775
1,6,9,0.703
1,6,10,1.01425
1,6,11,0.4607499999999999
1,6,12,0.5615
1,6,13,0.29874999999999996
1,6,14,0.2985
1,6,15,0.3340000000000001
1,6,16,1.35825
1,6,17,1.976
1,6,18,1.7655
1,6,19,0.7565000000000001
1,6,20,0.7855
1,6,21,0.6525000000000001
1,6,22,1.7885
1,6,23,1.85775
1,7,0,0.34750000000000003
1,7,1,0.2745
1,7,2,0.271
1,7,3,0.27775
1,7,4,0.35325
1,7,5,0.38975000000000004
1,7,6,0.39049999999999996
1,7,7,0.47
1,7,8,0.35000000000000003
1,7,9,0.395
1,7,10,0.35025000000000006
1,7,11,0.503
1,7,12,0.46924999999999994
1,7,13,0.43624999999999997
1,7,14,1.9677499999999999
1,7,15,2.2780000000000005
1,7,16,2.09925
1,7,17,3.8005
1,7,18,1.16625
1,7,19,0.62625
1,7,20,0.571
1,7,21,0.62425
1,7,22,0.55525
1,7,23,0.40975
1,8,0,0.3085
1,8,1,0.3035
1,8,2,0.29574999999999996
1,8,3,0.3425
1,8,4,0.39725
1,8,5,0.44225
1,8,6,0.53325
1,8,7,1.2814999999999999
1,8,8,0.8395
1,8,9,0.33399999999999996
1,8,10,0.36675
1,8,11,0.3615000000000001
1,8,12,0.37599999999999995
1,8,13,0.33375000000000005
1,8,14,0.3432500000000001
1,8,15,0.43525
1,8,16,0.55125
1,8,17,0.6995
1,8,18,3.079
1,8,19,2.2407500000000002
1,8,20,5.62475
1,8,21,1.2155000000000002
1,8,22,0.45275000000000004
1,8,23,0.41675
1,9,0,0.32375000000000004
1,9,1,0.3115
1,9,2,0.402
1,9,3,0.41050000000000003
1,9,4,0.4375
1,9,5,0.42925
1,9,6,0.5675
1,9,7,2.8245000000000005
1,9,8,0.87625
1,9,9,0.5640000000000001
1,9,10,0.4795
1,9,11,0.39700000000000013
1,9,12,0.401
1,9,13,0.3877500000000001
1,9,14,0.5469999999999999
1,9,15,1.64975
1,9,16,0.35075
1,9,17,0.5245
1,9,18,1.9609999999999999
1,9,19,1.6500000000000001
1,9,20,1.9222500000000005
1,9,21,2.0780000000000003
1,9,22,1.8410000000000002
1,9,23,1.75225
1,10,0,1.7305
1,10,1,1.7250000000000003
1,10,2,1.44325
1,10,3,0.322
1,10,4,0.32300000000000006
1,10,5,0.36725
1,10,6,0.5805
1,10,7,2.50875
1,10,8,2.3392500000000003
1,10,9,0.9517500000000001
1,10,10,0.3045000000000001
1,10,11,0.29024999999999995
1,10,12,0.2905000000000001
1,10,13,0.35024999999999995
1,10,14,0.31749999999999995
1,10,15,0.3200000000000002
1,10,16,0.34225
1,10,17,1.30925
1,10,18,3.741
1,10,19,1.73425
1,10,20,1.7260000000000002
1,10,21,0.9665000000000001
1,10,22,0.34075
1,10,23,0.47425
1,11,0,0.29174999999999995
1,11,1,0.26949999999999996
1,11,2,0.27799999999999997
1,11,3,0.26125000000000004
1,11,4,0.27449999999999997
1,11,5,0.259
1,11,6,0.4375
1,11,7,0.7765
1,11,8,0.374
1,11,9,0.3825
1,11,10,0.44175000000000003
1,11,11,0.37050000000000005
1,11,12,0.31049999999999994
1,11,13,0.3590000000000001
1,11,14,1.0315
1,11,15,0.3344999999999999
